link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/893768311/comprar/apartamento-2-quartos-jardim-dos-oliveiras-campinas,210.0,425.0,12x R$ 25,2.0,58.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9422972,-47.0393654"
https://www.quintoandar.com.br/imovel/894461287/comprar/apartamento-2-quartos-jardim-campos-eliseos-campinas,210.0,400.0,12x R$ 15,2.0,58.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9180653,-47.1005332"
https://www.quintoandar.com.br/imovel/894456137/comprar/apartamento-2-quartos-jardim-das-bandeiras-campinas,210.0,280.0,12x R$ 55,2.0,63.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9468441,-47.0867628"
https://www.quintoandar.com.br/imovel/894137665/comprar/apartamento-3-quartos-vila-marieta-campinas,220.0,510.0,12x R$ 8,3.0,96.0,1.0,1.0,Até 3° andar,Sem mobília,"-22.9296163,-47.053281"
https://www.quintoandar.com.br/imovel/894349158/comprar/apartamento-2-quartos-jardim-chapadao-campinas,275.0,320.0,12x R$ 46,2.0,68.0,1.0,1.0,Até 3° andar,Sem mobília,"22.8859989,-47.0723724"
https://www.quintoandar.com.br/imovel/892810475/comprar/apartamento-2-quartos-jardim-quarto-centenario-campinas,270.0,439.0,12x R$ 69,2.0,80.0,1.0,2.0,Até 3° andar,Mobiliado,"22.8966826,-47.0941144"
https://www.quintoandar.com.br/imovel/894220948/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,330.0,400.0,12x R$ 68,2.0,105.0,2.0,2.0,4° a 7° andar,Sem mobília,"22.9351007,-47.0598796"
https://www.quintoandar.com.br/imovel/894306203/comprar/apartamento-2-quartos-jardim-do-lago-campinas,290.0,320.0,12x R$ 55,2.0,52.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9373516,-47.0873239"
https://www.quintoandar.com.br/imovel/894325631/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,287.0,404.0,12x R$ 39,2.0,51.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.9351782,-47.058264"
https://www.quintoandar.com.br/imovel/893227275/comprar/apartamento-2-quartos-jardim-guanabara-campinas,350.0,730.0,12x R$ 57,2.0,82.0,1.0,1.0,Até 3° andar,Sem mobília,"22.8870285,-47.0609258"
https://www.quintoandar.com.br/imovel/893932356/comprar/apartamento-2-quartos-vila-industrial-campinas,370.0,450.0,12x R$ 92,2.0,52.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9110704,-47.0616003"
https://www.quintoandar.com.br/imovel/893460329/comprar/apartamento-2-quartos-parque-das-cachoeiras-campinas,210.0,0.0,12x R$ 0,2.0,44.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9525023,-47.0257819"
https://www.quintoandar.com.br/imovel/894449262/comprar/apartamento-3-quartos-jardim-myrian-moreira-da-costa-campinas,325.0,523.0,12x R$ 114,3.0,64.0,1.0,2.0,Até 3° andar,Sem mobília,"22.8126252,-47.0272552"
https://www.quintoandar.com.br/imovel/894328066/comprar/apartamento-2-quartos-vila-industrial-campinas,330.0,890.0,12x R$ 74,2.0,66.0,2.0,2.0,4° a 7° andar,Sem mobília,"22.9112244,-47.0711741"
https://www.quintoandar.com.br/imovel/893291731/comprar/apartamento-2-quartos-vila-ipe-campinas,314.0,350.0,12x R$ 25,2.0,50.0,1.0,1.0,Até 3° andar,Mobiliado,"=-22.946163,-47.045975"
https://www.quintoandar.com.br/imovel/893235401/comprar/apartamento-2-quartos-ponte-preta-campinas,330.0,380.0,12x R$ 84,2.0,63.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.9166388,-47.052894"
https://www.quintoandar.com.br/imovel/893717170/comprar/apartamento-2-quartos-jardim-do-lago-campinas,240.0,284.0,12x R$ 46,2.0,50.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9356397,-47.0856408"
https://www.quintoandar.com.br/imovel/894415211/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,329.9,468.0,12x R$ 61,3.0,68.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9305711,-47.0570666"
https://www.quintoandar.com.br/imovel/893334319/comprar/apartamento-2-quartos-jardim-centenario-campinas,212.0,230.0,12x R$ 25,2.0,45.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9417964,-47.0246382"
https://www.quintoandar.com.br/imovel/894358715/comprar/apartamento-2-quartos-vila-saturnia-campinas,265.0,420.0,12x R$ 11,2.0,48.0,1.0,1.0,Até 3° andar,Sem mobília,"-22.914304,-47.0800217"
https://www.quintoandar.com.br/imovel/893792614/comprar/apartamento-2-quartos-jardim-amazonas-campinas,260.0,382.0,12x R$ 46,2.0,54.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9432596,-47.0391115"
https://www.quintoandar.com.br/imovel/893387430/comprar/apartamento-2-quartos-parque-italia-campinas,300.0,560.0,12x R$ 30,2.0,47.0,1.0,1.0,8° a 11° andar,Sem mobília,"22.9183088,-47.0684525"
https://www.quintoandar.com.br/imovel/894458080/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,320.0,390.0,12x R$ 14,2.0,55.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9304653,-47.0602217"
https://www.quintoandar.com.br/imovel/894409990/comprar/apartamento-2-quartos-parque-da-figueira-campinas,310.0,450.0,12x R$ 25,2.0,65.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9511954,-47.0608229"
https://www.quintoandar.com.br/imovel/893560506/comprar/apartamento-3-quartos-taquaral-campinas,380.0,500.0,12x R$ 0,3.0,77.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.8794977,-47.0443955"
https://www.quintoandar.com.br/imovel/894443050/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,305.0,400.0,12x R$ 84,3.0,60.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.930534,-47.0571236"
https://www.quintoandar.com.br/imovel/894436375/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,200.0,306.0,12x R$ 0,2.0,45.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9335889,-47.0593284"
https://www.quintoandar.com.br/imovel/894387205/comprar/apartamento-2-quartos-vila-nova-campinas,330.0,700.0,12x R$ 94,2.0,70.0,1.0,1.0,4° a 7° andar,Sem mobília,"-22.881927,-47.0672199"
https://www.quintoandar.com.br/imovel/893600763/comprar/apartamento-2-quartos-cambui-campinas,355.0,380.0,12x R$ 107,2.0,65.0,1.0,1.0,Até 3° andar,Sem mobília,"-22.889673,-47.0483625"
https://www.quintoandar.com.br/imovel/894401110/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,255.0,300.0,12x R$ 0,2.0,49.0,1.0,1.0,Até 3° andar,Mobiliado,"22.9351007,-47.0598796"
https://www.quintoandar.com.br/imovel/894428857/comprar/apartamento-2-quartos-parque-residencial-vila-uniao-campinas,161.0,380.0,12x R$ 15,2.0,51708.0,1.0,1.0,Até 3° andar,Sem mobília,"=-22.9484457,-47.12324"
https://www.quintoandar.com.br/imovel/894048651/comprar/apartamento-2-quartos-parque-residencial-vila-uniao-campinas,150.0,320.0,12x R$ 17,2.0,57.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9458157,-47.1226038"
https://www.quintoandar.com.br/imovel/894429700/comprar/apartamento-3-quartos-ponte-preta-campinas,355.0,886.0,12x R$ 122,3.0,92.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9153683,-47.0558312"
