Player_id,Team_id,Name,Role,Kills_avg,Assists_avg,Deaths_avg,CS/min,Gold/min,Damage/min,Vision/min
274,24,Kisee,Mid,5.071428571428571,6.928571428571429,2.2857142857142856,9.65736292531858,476.9412792313477,739.4505101838222,1.0052805018461868
275,79,knight,Mid,4.0,5.384615384615385,2.0,8.19442708984129,415.99650131200696,693.1125827814552,1.1670623516181402
276,57,Kojima,Bot,2.3,4.2,2.0,8.139396238686267,386.1937022383619,483.6030567448929,1.3592759200043387
277,46,Kongyue,Jungle,1.8333333333333333,7.5,2.8333333333333335,5.943998690027857,332.67234321270786,223.7940068773546,1.6947764859996781
278,101,Kratos,Top,3.8333333333333335,3.9166666666666665,2.1666666666666665,8.680964282834784,421.9519471095696,569.5573651535909,0.8949447714262664
279,5,Kriss Kyle,Jungle,3.0,9.166666666666666,3.6666666666666665,5.200041567078916,343.3399147874911,313.6610204717889,1.1784266860646464
280,84,Kurak,Support,1.1666666666666667,7.833333333333333,3.75,1.203790204190581,259.4288002135333,319.8238355798754,3.275056719604973
281,74,Kuri,Support,0.8,14.2,1.6,1.1325952757512383,267.1577980715272,177.53584000816304,3.6702209070965806
282,9,Kwhite,Bot,5.05,4.4,2.3,8.905058155261003,450.0584257506076,623.6559372464146,1.163646199621312
283,26,Kz,Bot,2.3333333333333335,4.166666666666667,3.1666666666666665,7.123843102688403,355.3089466725426,516.7245482591445,1.3433230498016735
284,11,Labrov,Support,0.8571428571428571,9.761904761904763,3.6666666666666665,1.0963505113294572,256.16553037898547,165.1398636454783,3.7808301584118724
285,36,Lac,Bot,3.5,5.5,4.0,7.451531329024965,393.36330429895816,471.8572632761985,1.011520089912891
286,12,Larssen,Mid,2.5555555555555554,3.5555555555555554,2.111111111111111,9.12447078746828,419.9254868755307,623.2447078746847,0.8264182895851002
287,46,Lauva,Jungle,2.2,7.0,3.4,6.125797629899755,338.0674567000927,221.39015496809583,1.4494074749316384
288,25,Lava,Mid,4.105263157894737,6.421052631578948,1.8421052631578947,9.26736162090736,443.1719277639116,704.2542945235652,1.3601526941711943
