Player_id,Team_id,Tournament_id,Champion_id,Role,GameId,PlayerWin,Gamelength Number,Kills,Deaths,Assists,Gold,CS,DamageToChampions,VisionScore
3,44,33,54,Top,PCS/2024 Season/Spring Season_Week 2_5_2,No,30.933333333333,0,4,0,8944,205,5963,27
3,44,33,50,Top,PCS/2024 Season/Spring Season_Week 2_5_3,Yes,36.55,6,2,9,16784,326,24004,50
3,44,33,54,Top,PCS/2024 Season/Spring Season_Week 3_1_1,No,40.116666666667,3,6,4,12427,238,24934,41
3,44,33,50,Top,PCS/2024 Season/Spring Season_Week 3_1_2,Yes,34.316666666667,3,0,2,14492,333,22997,49
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 3_1_3,Yes,28.116666666667,15,2,5,16146,240,31089,35
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 3_5_1,Yes,36.433333333333,12,3,6,18005,304,25747,53
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 3_5_2,Yes,21.666666666667,8,2,1,11570,210,20434,24
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 4_3_1,Yes,30.983333333333,4,0,8,13525,290,26282,26
3,44,33,38,Top,PCS/2024 Season/Spring Season_Week 4_3_2,Yes,24.7,4,2,2,10757,230,17199,25
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 4_7_1,No,36.816666666667,4,3,3,14280,300,18629,31
3,44,33,38,Top,PCS/2024 Season/Spring Season_Week 4_7_2,Yes,29.116666666667,4,0,5,14101,301,15931,28
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 4_7_3,No,29.833333333333,1,2,4,10657,259,15032,31
3,44,33,20,Top,PCS/2024 Season/Spring Season_Week 5_4_1,No,31.783333333333,0,3,0,10367,267,4813,23
3,44,33,54,Top,PCS/2024 Season/Spring Season_Week 5_4_2,No,31.633333333333,4,3,2,11836,254,9150,34
3,44,33,138,Top,PCS/2024 Season/Spring Season_Week 6_1_1,No,42.666666666667,1,2,5,17520,360,22939,82
3,44,33,54,Top,PCS/2024 Season/Spring Season_Week 6_1_2,No,29.566666666667,1,4,5,9589,212,11558,29
3,44,33,1,Top,PCS/2024 Season/Spring Season_Week 6_5_1,No,32.5,1,4,4,10653,242,19874,26
